,Coefficient,Expectation Values
0,1.5280210592332613,0.9999999999999998
1,-0.272215257351005,-0.99230751276821
2,0.08812294324841645,0.009046799950049679
3,0.08812294324841645,0.009045555939757643
4,-0.40516889844632453,0.9965908192594689
5,-0.052063680664412415,-0.0010404908006897615
6,-0.052063680664412415,-0.006506506402638626
7,-0.6893596033215873,0.9999431183534618
8,-1.0422225890818184,0.995708458618443
9,-0.2722152573510051,-0.9923234314130062
10,0.08812294324841645,0.008304060897157817
11,0.08812294324841645,0.008336881323983648
12,-0.4051688984463245,0.9999897745110957
13,-0.05206368066441245,0.0014697016910583925
14,-0.05206368066441245,-0.0014818544956650811
15,-0.6893596033215872,0.9999459133495058
16,-1.0422225890818186,0.9923629487905447
17,0.08852206158533465,-0.9956274487594715
18,0.016033305580191004,-0.006501846013851464
19,0.016033305580191004,-0.0010356910684220482
20,-0.01735600095509328,0.00904780393257254
21,-0.01735600095509328,0.009044680182753763
22,-0.012970529275601947,1.3881161291560035e-05
23,-0.015318666338180912,2.529291706007614e-05
24,-0.0023481370625789487,1.2120315407911192e-05
25,-0.0023481370625789487,-1.1311374659213055e-05
26,-0.015318666338180912,-2.238233147113965e-05
27,-0.012970529275601947,-1.2424134783233694e-05
28,0.10571999330831895,-0.9923612021854932
29,0.1317993452115655,-0.9965767636067746
30,-0.01983190481381175,0.00904653459851967
31,-0.01983190481381175,0.009048260257871973
32,0.16302461641468569,0.9998862283883357
33,-0.04197705526657951,-0.009045775881462161
34,-0.04197705526657951,-0.009044513631513674
35,0.019862079551633487,-7.465197115183346e-07
36,0.019862079551633487,-0.0001245196646411167
37,0.019862079551633487,-1.0079482536803948e-06
38,0.019862079551633487,-0.0001139809006206836
39,-0.01980885546480516,3.661410120585408e-06
40,-0.01980885546480516,0.00014191036166258663
41,-0.01980885546480516,7.509618537319032e-06
42,-0.01980885546480516,0.0001366183744458092
43,-0.04197705526657951,-0.008335042523927238
44,-0.04197705526657951,-0.008297099878515289
45,0.027407269742235774,5.564313841673133e-06
46,0.027407269742235774,5.7365681522808794e-06
47,0.027407269742235774,4.926338656968016e-06
48,0.027407269742235774,4.4743672042742124e-06
49,-0.01980885546480516,0.08141501713143653
50,-0.01980885546480516,0.08141444194876449
51,-0.01980885546480516,0.08167010156831314
52,-0.01980885546480516,0.0816688149360835
53,0.0345576959909405,-0.09223243758888176
54,0.0345576959909405,-0.09223101052124921
55,0.0345576959909405,-0.09200521456525329
56,0.0345576959909405,-0.09200376614865992
57,0.10838414113696815,-0.992307161452189
58,-0.012405451738205396,0.009046780519189243
59,-0.012405451738205396,0.009045525752444454
60,-0.004950549216887886,-9.588227353448227e-07
61,-0.004950549216887886,-6.359638659492453e-08
62,-0.004950549216887886,-1.205647536977364e-06
63,-0.004950549216887886,-5.207823527264559e-07
64,-0.005280924575648785,1.131456793618671e-06
65,-0.005280924575648785,1.681893918073993e-07
66,-0.005280924575648785,1.4002694386126653e-06
67,-0.005280924575648785,6.019077228144359e-07
68,0.03584216104499616,-0.0014848086593321752
69,0.03584216104499616,0.0014716259326387853
70,-0.01825145385125073,5.498223936662983e-06
71,-0.01825145385125073,-6.33359556724512e-06
72,-0.01825145385125073,7.580478693147413e-06
73,-0.01825145385125073,-5.7717367623584e-06
74,0.13312726305055472,-0.9922694177951022
75,-0.02995357328090835,0.009046017721888363
76,-0.02995357328090835,0.009044899217922111
77,-0.02059959091382968,0.00015900574056785296
78,-0.02059959091382968,0.0005222871574464432
79,-0.02059959091382968,0.00016397794530622218
80,-0.02059959091382968,0.000517602091834396
